ZIP,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,LAT,LNG,BOROUGH
10306,3959.5768143261075,145.55136663524976,10306.0,1.1385485391140433,0.0235626767200754,1.1621112158341187,323.7702823459009,127.21152626107445,1906.2346842601319,1.1046182846371349,333401.73232799245,40.571768, -74.125950,Staten Island
10307,7921.82683982684,92.68398268398268,10307.0,1.3722943722943723,0.008658008658008658,1.380952380952381,478.93346516450214,181.3438407575757,1922.030303030303,1.0562770562770563,518529.9826839827,40.509183, -74.237785,Staten Island
10308,5151.066276803119,135.1578947368421,10308.0,1.2163742690058479,0.05263157894736842,1.2690058479532165,330.4130509005851,138.37621148927866,1951.9493177387915,1.0682261208576997,342520.1461988304,40.551884, -74.147646,Staten Island
10309,7028.551724137931,186.31855500821018,10309.0,1.2758620689655173,0.06732348111658457,1.341543513957307,1006.3667896223313,259.0806860361249,1952.9228243021346,1.1280788177339902,477942.7750410509,40.531346, -74.219857,Staten Island
10310,219.05945945945945,105.89189189189189,10310.0,1.335135135135135,0.11891891891891893,1.445945945945946,494.7029510378376,168.2975508378378,1869.7945945945946,1.3297297297297297,345671.6594594595,40.632648, -74.116148,Staten Island
10312,5836.501838235294,120.77573529411765,10312.0,1.213235294117647,0.01011029411764706,1.224264705882353,352.00323361856624,154.89628385661763,1954.5220588235295,1.0284926470588236,382878.12408088235,40.545237, -74.180443,Staten Island
10314,1656.8494368701838,457.77415530527566,10314.0,1.2062833432128037,0.1938352104327208,1.4137522228808537,1012.9038967569608,235.53724574273838,1960.8405453467694,1.2258446947243629,427661.8755186722,40.599263, -74.165748,Staten Island
10451,2420.135135135135,132.5472972972973,10451.0,6.871621621621622,0.7094594594594594,7.581081081081081,606.9434593986485,975.5336010067568,1822.831081081081,2.1013513513513513,1649486.0337837837,40.820479, -73.925084,Brooklyn
10452,2590.0813953488373,52.16279069767442,10452.0,13.593023255813954,0.313953488372093,13.906976744186046,544.899860883721,1507.8426966860463,1725.9302325581396,1.930232558139535,1612713.011627907,40.837393, -73.923437,Brooklyn
10453,2965.9411764705883,105.36134453781513,10453.0,10.285714285714286,0.226890756302521,10.512605042016807,451.79275388235277,1020.5800512689075,1849.4621848739496,1.4621848739495797,1196725.2016806724,40.852779, -73.912332,Brooklyn
10454,2376.2631578947367,83.16842105263157,10454.0,4.6,0.6947368421052632,5.3052631578947365,470.6436642210525,727.6906183999998,1808.6947368421052,2.168421052631579,1332737.105263158,40.805489, -73.916585,Brooklyn
10455,2516.382716049383,121.25925925925925,10455.0,1.9506172839506173,0.7654320987654321,2.7160493827160495,2008.6087380246943,1061.9684582469135,1674.1728395061727,1.9382716049382716,908367.4567901235,40.814710, -73.908593,Brooklyn
10456,2568.906779661017,64.9322033898305,10456.0,6.686440677966102,0.3050847457627119,6.991525423728813,383.5039776567797,741.5769400338988,1676.457627118644,1.7415254237288136,939084.5423728813,40.829881, -73.908120,Brooklyn
10457,3005.396226415094,60.283018867924525,10457.0,4.735849056603773,0.21226415094339623,4.94811320754717,302.2507078443396,502.34273520283,1791.5188679245282,1.5613207547169812,935932.533018868,40.847150, -73.898680,Brooklyn
10458,3180.457142857143,66.18095238095238,10458.0,6.104761904761904,0.24285714285714285,6.352380952380952,287.7878350761904,511.92340090000016,1877.0714285714287,1.5380952380952382,1018063.1523809524,40.862543, -73.888143,Brooklyn
10459,2798.0738636363635,152.2840909090909,10459.0,3.471590909090909,0.4090909090909091,3.914772727272727,328.14659244886343,409.5966584090909,1757.9261363636363,1.6079545454545454,624756.2045454546,40.825867, -73.892942,Brooklyn
10460,3456.682926829268,54.28780487804878,10460.0,3.3804878048780487,0.25365853658536586,3.6341463414634148,359.4439729268296,360.16091217560967,1806.2439024390244,1.697560975609756,614622.4731707317,40.841758, -73.879571,Brooklyn
10461,4521.161157024793,66.30165289256199,10461.0,2.309917355371901,0.20454545454545456,2.5082644628099175,577.0877149214879,862.5826648367763,1853.9793388429753,1.4049586776859504,454921.8037190083,40.847381, -73.840584,Brooklyn
10462,4028.7514204545455,1548.1704545454545,10462.0,1.5056818181818181,0.07670454545454546,1.5838068181818181,123.33836590767064,115.95231347869317,984.8011363636364,1.6747159090909092,229382.53551136365,40.843280, -73.860389,Brooklyn
10463,5255.269026548673,397.63362831858404,10463.0,1.9805309734513274,0.0584070796460177,2.0743362831858407,193.46729111327437,237.6766224265486,1928.474336283186,1.9309734513274337,574750.0513274337,40.880678, -73.906540,Manhattan
10464,5638.252873563219,329.86206896551727,10464.0,0.9655172413793104,0.05747126436781609,1.0459770114942528,805.6697659080461,132.04079141379307,1566.3908045977012,1.2528735632183907,397467.0229885057,40.867787, -73.799920,Brooklyn
10465,5495.673664122138,182.40267175572518,10465.0,1.4465648854961832,0.019083969465648856,1.467557251908397,281.5425415000006,155.69496754771023,1898.1469465648854,1.0916030534351144,351299.39122137404,40.822615, -73.822239,Brooklyn
10466,4944.482632541133,62.6691042047532,10466.0,1.9524680073126142,0.07678244972577697,2.036563071297989,273.1285358848263,214.75539003656314,1881.3912248628885,1.2541133455210238,348959.3912248629,40.890964, -73.846239,Brooklyn
10467,4364.206572769953,104.64788732394366,10467.0,9.422535211267606,0.22769953051643194,9.650234741784038,436.2498074553992,644.0136277793424,1912.1854460093896,1.516431924882629,612044.9014084507,40.869953, -73.865746,Brooklyn
10468,3244.035294117647,117.79411764705883,10468.0,4.370588235294117,0.2,4.623529411764705,376.3036014999999,988.7567922117651,1871.2,1.8941176470588235,1438123.9235294117,40.868093, -73.899730,Brooklyn
10469,4617.796661608498,49.080424886191196,10469.0,1.60546282245827,0.03793626707132018,1.644916540212443,268.1538658330811,186.7047202200304,1904.3626707132019,1.0652503793626706,314592.8588770865,40.868607, -73.848133,Brooklyn
10470,4089.7172413793105,46.10344827586207,10470.0,2.2620689655172415,0.12413793103448276,2.3793103448275863,327.2312758344826,316.4692641724137,1883.9724137931034,1.5586206896551724,489024.8275862069,40.889530, -73.872662,Brooklyn
10471,5896.73125,818.253125,10471.0,2.625,0.053125,2.678125,293.38360949374993,291.402743340625,1867.06875,1.775,616861.559375,40.898868, -73.903328,Brooklyn
10472,3783.0174825174827,47.17132867132867,10472.0,3.5174825174825175,0.17132867132867133,3.695804195804196,272.43414947202785,351.0775134790207,1902.5349650349651,1.4090909090909092,543956.2062937063,40.829556, -73.869336,Brooklyn
